,text,sentiment,label
0,"module , ek program hoti hai , jismen ya to source code ya machine language ke form men instructions nihit hote hain.
",neutral,1
1,"aur hamne aume samood ke pas unke bhaee saleh ko paimbar banakar bheja to unhonne apni aum se kaha ae meri aum uda hi ki parastish karo uske siva koee tumhara mabood nahin usi ne tumko zamin ki mitti se paida kiya aur tumko usmen basaya to usse maphirat ki duaa mgon phir uski bargah men tauba karo beshak mera paravardigar har shash ke rib aur sabki sunta aur duaa ubool karta hai
",positive,2
2,"aur jab unhen yad dilaya jata hai , to ve yad nahin karte ,
",neutral,1
3,"tumhen २०११ ka ted prize mil gaya hai
",positive,2
4,"unhonne bad science karne ke lie ye delhi university ke kirorimal college chale ge jahan inhonne vijnjan graduate ki degree prapt ki.
",neutral,1
5,"phir hamne unhen bheja, taki maloom karen ki calculate the length se kisne yad rakha hai ki kitni avdhi tak ve rahe
",positive,2
6,"kya aap vakee raddi men sare photos and videos khiskana chahte hain
",neutral,1
7,"malabar men khudaee ke kamron men rakhe hue bare-bare bartan mile hain jinme shav rakhe jate the.
",neutral,1
8,"aur dharti ko ek samatal desolate maidan banakar chhorega
",negative,0
9,"mujhe dekhne ke lie jab aap ऑnlain ho dhanyvad!
",positive,2
10,"jo azasartapa un logon ke lie guidance v mercy hai
",positive,2
11,"france men is ek deed ki news bijli ki tarah phail jati hai aur people bhram se mut hokar pride mahsoos karte hain
",positive,2
12,"aapki refuse ko dekhne ke lie unhen permission mat den
",negative,0
13,"any upakarnon par tab page menu ke lie tab page prishth aksham karen
",neutral,1
14,"ends ke uddeshyon ki disposal se koson pendency , unka anirnay ya merits ke aadhar par niptan sunishchit roop se ends ke uddeshyon ko viphal kar dega
",positive,2
15,"use apne creatures par poorn adhikar prapt hai. aur vah wise, aware rakhnevala hai
",positive,2
16,"yadi yah aur pahle ka nahin , to bhi seventh century ka bana hai aur earlier mool roop se buddhist creed ke lie tha , kintu bad men vishnu temple men roopantrit kar diya gaya jismen principal deity recumbent hue vishnu ya anantasayin hain
",neutral,1
17,"hamne tumhen paida kiya phir tum sach kyon nahin mante
",positive,2
18,"aap prat 10 baje vahan ho tej
",neutral,1
19,"kuchh mahine hue vahan normal democratic elections hue aur phalasvroop vahan ek popular radical party lokapriy morcha-satta men aayi
",positive,2
20,"continue rakhen lagoo kar raha hai ke sath resolved conflicts
",negative,0
21,"koee organism or individual jis men mata aur pita in donon se hi prapt gunsutr ka ek dohra gut individual
",neutral,1
22,"aur hamne heaven se ek measure e sath water barsaya phir usko zamin men  hasab maslehat  thahrae rakha aur able to yainan uske aeb kar dene par bhi aboo rakhte hai
",positive,2
23,"puppet nirdeshkon ke samaksh satire , humour evn whole shakti ka snsar open para hai.
",positive,2
24,"par sharirik prem doosre tat-aatm-hanan-par bridge to cross physical love
",positive,2
25,"uski man lakari ke bane kukurmutte par koee phata darning a torn thi.
",negative,0
