,text
0,বিমানবন্দরে যুক্তরাজ্যে নিযুক্ত বাংলাদেশ হাইকমিশনার সাঈদা মুনা তাসনীম ও লন্ডনে বাংলাদেশ মিশনের জ্যেষ্ঠ কর্মকর্তারা তাকে বিদায় জানান
1,সন্ত্রাসীদের কোনো বর্ণ ধর্ম ও দেশ নেই
2,কর্নেল বিশ্ববিদ্যালয়ের অধ্যাপক ডেরেক কাবেরা শ্রেণিবদ্ধ চিন্তার অন্ধকার দিক নামের একটি প্রবন্ধ রচনা করেছেন
3,শ্রীপুর ফায়ার স্টেশনের দুই ইউনিটের কর্মীরা প্রায় দুঘণ্টা চেষ্টা করে আগুন নেভায়
4,ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদি আশ্বস্ত করে বলেছেন বাংলাদেশের রোহিঙ্গা সমস্যা নিরসনে নয়া দিল্লীর সহযোগিতা অব্যাহত থাকবে
5,রোহিঙ্গা প্রত্যাবাসন ইস্যুতে বাংলাদেশকে জাপানের পূর্ণসমর্থন
6,তিনি বলেছেন বাংলাদেশ হলো আন্ত ধর্ম ও ঐকতানের প্রকৃষ্ট উদাহরণ
7,আগারগাঁওয়ে নির্বাচন ভবনে প্রধান নির্বাচন কমিশনারের কার্যালয়ে এ বৈঠক শুরু হয়
8,জাপানের পররাষ্ট্র প্রতিমন্ত্রী তোশিকো আবে এবং টোকিওতে বাংলাদেশের রাষ্ট্রদূত রাবাব ফাতিমা বিমান বন্দরে প্রধানমন্ত্রীকে অভ্যর্থনা জানান
9,শেখ হাসিনা এডিবির আবাসিক পরিচালককে বলেন তার সরকার একটি সুপরিকল্পিত উপায়ে দেশের অর্থনীতিকে ধাপে ধাপে এগিয়ে নিয়ে যাচ্ছে
10,আইনশৃঙ্খলা পরিস্থিতি নিয়ন্ত্রণের মাধ্যমে জনগণের মৌলিক ও সাংবিধানিক অধিকার নিশ্চিত করতে না পারলে দেশের সার্বিক মানবাধিকার পরিস্থিতি আরো অবনতির দিকে যাবে
